Date(UTC),UnixTimeStamp,Value
2016-02-27,1456531200,18981
2016-02-28,1456617600,19063
2016-02-29,1456704000,20358
2016-03-01,1456790400,21778
2016-03-02,1456876800,23562
2016-03-03,1456963200,24837
2016-03-04,1457049600,24287
2016-03-05,1457136000,27115
2016-03-06,1457222400,27661
2016-03-07,1457308800,23271
2016-03-08,1457395200,24104
2016-03-09,1457481600,24557
2016-03-10,1457568000,24814
2016-03-11,1457654400,23124
2016-03-12,1457740800,27887
2016-03-13,1457827200,28127
2016-03-14,1457913600,28528
2016-03-15,1458000000,29273
2016-03-16,1458086400,27596
2016-03-17,1458172800,33531
2016-03-18,1458259200,31821
2016-03-19,1458345600,34779
2016-03-20,1458432000,32447
2016-03-21,1458518400,32511
2016-03-22,1458604800,32890
2016-03-23,1458691200,31786
2016-03-24,1458777600,36947
2016-03-25,1458864000,36762
2016-03-26,1458950400,36646
2016-03-27,1459036800,29974
2016-03-28,1459123200,33613
2016-03-29,1459209600,33915
2016-03-30,1459296000,36767
2016-03-31,1459382400,32259
2016-04-01,1459468800,33320
2016-04-02,1459555200,29358
2016-04-03,1459641600,29588
2016-04-04,1459728000,34907
2016-04-05,1459814400,39173
2016-04-06,1459900800,32078
2016-04-07,1459987200,31893
2016-04-08,1460073600,34010
2016-04-09,1460160000,31923
2016-04-10,1460246400,32237
2016-04-11,1460332800,30327
2016-04-12,1460419200,34673
2016-04-13,1460505600,36051
2016-04-14,1460592000,34781
2016-04-15,1460678400,34959
2016-04-16,1460764800,30483
2016-04-17,1460851200,40203
2016-04-18,1460937600,33513
2016-04-19,1461024000,32622
2016-04-20,1461110400,32944
2016-04-21,1461196800,37181
2016-04-22,1461283200,31678
2016-04-23,1461369600,31845
2016-04-24,1461456000,34046
2016-04-25,1461542400,35430
2016-04-26,1461628800,32582
2016-04-27,1461715200,33847
2016-04-28,1461801600,34343
2016-04-29,1461888000,37332
2016-04-30,1461974400,45769
2016-05-01,1462060800,39578
2016-05-02,1462147200,41748
